Material;Storage Location;User Name;Time of Entry;Material Document;Posting Date;Quantity;Unit of Entry;Amt.in loc.cur.;Material Description;Entry Date;Supplier
193707;SK20;SLUSARCZYKD;00:00:10;5004928285;03.03.2023;2 000;PC;1 516,64;Cap;03.03.2023;8032
W000028466;SK20;JOB-BATCH;00:00:11;5005686883;29.08.2023;3 680;PC;3 347,48;Spline FB1 480 R2000 16N;29.08.2023;4879
W000040041;SK20;JOB-BATCH;00:00:18;5005686884;29.08.2023;8 640;PC;9 057,23;Spline FB1 605 R4000 16N;29.08.2023;4879
182844;SK20;SLUSARCZYKD;00:00:20;5004928286;03.03.2023;410;PC;452,89;Cap;03.03.2023;8032
W000104018;SK20;JOB-BATCH;00:00:24;5005482023;28.06.2023;1 440;PC;15 144,24;Blade PS LHD BR223;28.06.2023;4879
W178769;SK20;JOB-BATCH;00:00:24;5005686885;29.08.2023;840;PC;24 455,89;Wiper blade flat L460 PS LHD H;29.08.2023;4879
W000070115;SK20;JOB-BATCH;00:00:28;5005482024;28.06.2023;12 800;PC;11 956,22;Spline FB1 505 R4000 14N;28.06.2023;4879
W000104018;SK20;JOB-BATCH;00:00:28;5005686886;29.08.2023;720;PC;7 572,12;Blade PS LHD BR223;29.08.2023;4879
180353;SK20;SLUSARCZYKD;00:00:29;5004928288;03.03.2023;4 800;PC;3 375,12;Cap;03.03.2023;8032
M0000598;SK20;ZYLAK;00:00:29;5005797151;05.10.2023;8 406;KG;93 991,69;wire 9x4 C32D-C38D tZnAl 5 k;05.10.2023;31795
W000085714;SK20;HARDEKK;00:00:30;5005244411;05.05.2023;320;PC;1 090,22;Pivot housing plast. D3P2 RHD PS;05.05.2023;163103
W000085723;SK20;HARDEKK;00:00:30;5005244411;05.05.2023;480;PC;1 691,64;Pivot housing plast. D3P2 RHD DS;05.05.2023;163103
WA85033;SK20;JOB-BATCH;00:00:31;5005686887;29.08.2023;7 680;PC;8 103,55;Spline FB1 646 R3500 15N;29.08.2023;4879
W000104576A1;SK20;SLUSARCZYKD;00:00:40;5004928291;03.03.2023;5 000;PC;6 192,75;Aqua hose cut VS30 L=785mm;03.03.2023;169841
